"station","lng","lat"
"Egmont Key LT, 5.5 mi NE of",-82.66108,27.62387
"Bishop Harbor 4",-82.5776,27.613
"Hillsborough County, Rocky Creek",-82.5845,27.9956
"Bishop Harbor 4",-82.578,27.613
"Bishop Harbor 3",-82.5707,27.6084
"Bishop Harbor 2",-82.562,27.6075
"Bishop Harbor 4",-82.5776,27.6131
"Bishop Harbor 2",-82.5621,27.6077
"Bishop Harbor 2",-82.562,27.6077
"Bishop Harbor 2",-82.5622,27.6077
"Bishop Harbor 1",-82.5511,27.6065
"Whale Key, W of, Lower Tampa Bay",-82.67635,27.66012
"W Little Manatee River",-82.45531,27.77533
"Joe Island, SW of, Lower Tampa Bay",-82.6004,27.5876
"Pinellas Point",-82.62895,27.67438
"Philippe Park",-82.6492,27.9869
"Joe Island, 0.57 miles NW of",-82.6055,27.5967
"Miguel Bay, mouth of",-82.61232,27.57948
"Paradise Island, W of",-82.61232,27.57948
"Paradise Island, 1.6 miles NW of, Lower Tampa Bay",-82.63128,27.59378
"Paradise Island, NW of, Lower Tampa Bay",-82.62133,27.58653
"Joe Bay oyster bar",-82.6007,27.5873
"Two Brothers Islands, W of",-82.5887,27.5932
"Two Brothers Islands",-82.5826,27.5936
"Bishop Harbor, mouth of",-82.5721,27.6081
"Port of Manatee, SW of",-82.5688,27.6231
"Harbor Key, 1.7 mi NW of, Lower Tampa Bay",-82.59066,27.632
"1.5 mi S of Courtney Cambell Causeway (Old Tampa Bay)",-82.60826,27.9504
"1.5 mi N of Gandy Bridge (Tampa Bay)",-82.56728,27.9064
"1.5 mi E of Snell Isle (Tampa Bay)",-82.59525,27.79035
"Tampa Bay",-82.54848,27.76467
"06",-82.5919,27.6859
"Veterans Park, Bay Pines",-82.77024,27.79907
"Mullet Key, Boat Ramp",-82.71833,27.64505
"Courtney Campbell Causeway Northside Midway",-82.645,27.96783
"Courtney Campbell Causeway Northside West",-82.66666,27.96517
"R.E. Olds City Park Pier",-82.67,28.03033
"Courtney Campbell Causeway West Southside Beach",-82.69892,27.96075
"Clambar",-82.6466,27.5325
"Philippe Park, Seagrass collection site",-82.6767,28.00173
"Riveria Dr; Davis Island",-82.45995,27.9168
"Erie Ave; Davis Island",-82.45676,27.9197
"Mullet Key, Bay pier",-82.7255,27.6155
"Tampa Bay TBM09091001",-82.63026,27.99765
"Tampa Bay TBM09091002",-82.63208,27.97567
"Tampa Bay TBM09091003",-82.68355,27.96337
"Tampa Bay TBM09091004",-82.68115,27.96273
"Tampa Bay TBM09091005",-82.68623,27.92633
"Tampa Bay TBM09091006",-82.67228,27.91245
"Tampa Bay TBM09091007",-82.64677,27.91768
"Tampa Bay TBM09091008",-82.55127,27.94422
"Apollo Beach",-82.42378,27.79115
"Apollo Beach Channel",-82.44363,27.77472
"Zone A",-82.59041,27.8132
"06",-82.59343,27.68495
"Sawyer Key",-82.72151,27.64167
"Bunces Pass",-82.74068,27.6492
"Mullet Key",-82.73681,27.61023
"North Skyway fishing pier",-82.67083,27.63282
"First bridge north of Skyway",-82.67638,27.66168
"Harbor Key, 1.7 miles NW of, Lower Tampa Bay",-82.565,27.632
"St. Pete Pier at the Aquarium",-82.6169,27.76678
"St. Pete Pier",-82.63148,27.77283
"St. Pete Pier, off Spa Beach",-82.62609,27.77448
"Courtney Campbell Cswy W. Southside Beach",-82.69892,27.96075
"Safety Harbor",-82.67443,28.0014
"Safety Harbor",-82.66628,28.00335
"Safety Harbor",-82.68169,28.01935
"Safety Harbor",-82.67513,28.02215
"Safety Harbor",-82.66839,28.02641
"Safety Harbor",-82.68101,28.02807
"Mullet Key, boat ramp",-82.71833,27.64505
"Hillsborough River",-82.47835,27.96932
"Courtney Campbell Cswy W. S-side Beach",-82.69892,27.96075
"Courtney Campbell Cswy, mid span",-82.625,27.96972
"2975 Gulf to Bay Blvd",-82.71233,27.95784
"Howard Franklin Bridge, S of",-82.61208,27.91785
"Howard Franklin Bridge, N of",-82.61339,27.92057
"Old Tampa Bay, between CCC and HF Bridges",-82.63152,27.93766
"Courtney Campbell Cwsy, E end",-82.6211,27.96824
"Bayside Brigde, 0.2 mi E of, Old Tampa Bay",-82.70272,27.94811
"Courtney Campbell Cswy W. S. Beach",-82.69892,27.96075
"Bayboro Harbor",-82.63385,27.76084
"Courtney Campell Causeway E-side, S of",-82.60826,27.9504
"Bayside Bridge, E of",-82.68285,27.9457
"Bayside Bridge, W of",-82.71365,27.93936
"Bayside Bridge, W of",-82.71831,27.95425
"Howard Franklin bridge, N of",-82.62388,27.93133
"Howard Franklin bridge, S of",-82.59321,27.91453
"Gandy bridge, N of",-82.5658,27.89681
"Gandy bridge, N of",-82.58549,27.88497
"South of Gandy bridge",-82.56622,27.86543
"South of Gandy bridge",-82.53271,27.88446
"South of Gandy bridge",-82.53832,27.88406
"Coquina Key, SE of, Tampa Bay",-82.59323,27.68498
"Crisp Park",-82.62673,27.80385
"Philippe Park, NE of, Safety Harbor",-82.675,28.02
"Snell Island, SE of, Tampa Bay",-82.5789,27.7723
"Weedon Island, E of, Old Tampa Bay",-82.58911,27.86111
"San Jose, W of, Old Tampa Bay",-82.5594,27.9205
"Big Island, W of, Old Tampa Bay",-82.6046,27.9055
"HighPoint, 2 mi NE of, Old Tampa Bay",-82.675,27.942
"C. Campbell Cswy, S of, Old Tampa Bay",-82.622,27.957
"Howard Frankland Bridge, N of, Old Tampa Bay",-82.577,27.942
"Old Tampa Bay Park, S of, Mobbly Bay",-82.62,27.98
"Cooper Point, SE of, Old Tampa Bay",-82.673,27.972
"HighPoint, 2m NE of, Old Tampa Bay",-82.622,27.957
"Coquina Key, 1.6 miles W of",-82.59765,27.7428
"Big Pass Key, 4.81 miles W of",-82.58941,27.69987
"Bird Key, 2.7 miles W of",-82.52605,27.72832
"Beacon Key, 1.4 miles W of",-82.56608,27.66465
"Harbor Key, 1.7 mile NW of",-82.58188,27.62698
"Tarpon Key, 4.12 miles E of",-82.61935,27.64738
"Cow Key, 2.5 miles E of",-82.63693,27.6838
"Cow Key, 2.5m E of",-82.63693,27.6838
"Mullet Key, 1.25 miles W of",-82.67883,27.6227
"Skeet Key, 4.25 miles W of",-82.6815,27.58258
"Rattlesnake Key, 2.12 miles W of",-82.66283,27.55758
"Passage Key, 1.75 E of",-82.71585,27.54482
"Egmont Key, 2.4 miles E",-82.7141,27.59842
"Albert Whitted, 0.76 miles E of",-82.61221,27.76092
"Snell Isle, 1.4 miles E of",-82.58518,27.7973
"Picnic Island, 1.21 miles SW of",-82.56688,27.83572
"MacDill, 1.1 miles SW of",-82.51285,27.81047
"Pine Key, 1.0 miles S of",-82.44935,27.79283
"Apollo Beach, 4.3 miles SW of",-82.4978,27.75467
"Apollo Beach, 7.62 miles W of",-82.5594,27.77572
"Bird Key, 2.66 miles W of",-82.52571,27.72068
"Coquina Key. 2.80 miles E of",-82.5792,27.73032
"Beacon Key, 2.40 mles W of",-82.57505,27.67728
"Pinellas Point, 1.61 mile SE of",-82.63341,27.68258
"Port Manatee, 2.93 miles W of",-82.6758,27.58233
"Mullet Key, 3.66 miles SE of",-82.6758,27.58233
"Anna Maria Island, 1.67 miles NW of",-82.69926,27.54477
"Egmont Key, 1.73 miles E of",-82.73113,27.58732
"Pine Key, 1.1 miles SW of",-82.44856,27.79027
"Albert Whitted Airport, 0.63 miles E of",-82.60146,27.76032
"Snell Island, 1.4 miles E of",-82.57838,27.79952
"MacDill, 1.1 miles SW of",-82.51423,27.81202
"Pine Key, 1.0 miles S of",-82.45042,27.79038
"Apollo Beach, 4.3 miles SW of",-82.49746,27.75457
"Coquina Key, 2.0 E of",-82.57964,27.73083
"Beacon Key, 2.4 miles W of",-82.57488,27.67701
"Pinellas Point, 3.68 miles S of",-82.65285,27.64557
"Mullet Key, 3.65 miles E of",-82.64759,27.58212
"Anna Maria Island, 1.67 mile NE of",-82.69939,27.54461
"Mead Point, Perico Bayou",-82.68395,27.51477
"School Key, Lower Tampa Bay",-82.704,27.52983
"Joe Island, 0.57 mi NW of",-82.6055,27.5967
"Paradise Island, 1.6 miles NW of, Lower Tampa Bay",-82.63142,27.59069
"North Shore Park Beach, St. Petersburg",-82.6239,27.7839
"School Key, 1.6 miles N of, Lower Tampa Bay",-82.70658,27.54782
"Mullet Key, 1.6 miles S of, Lower Tampa Bay",-82.719,27.59545
"Big Island, 1.5 mi N of, Old Tampa Bay",-82.64734,27.932
"Moody Point, 3 mi W of, Lower Tampa Bay",-82.594,27.661
"Hillsborough Avenue Bridge",-82.46583,27.99635
"W. Columbus Dr., Hillborough River",-82.47535,27.96692
"Laurel St. Bridge, Hillsborough River",-82.46492,27.95462
"Fisherman''s Creek, off Maximo Channel",-82.68293,27.71248
"San Jose, W of, Old Tampa Bay",-82.5496,27.9244
"Howard Frankland Bridge, N of, Old Tampa Bay",-82.561,27.949
"Philippe Park, south end",-82.67918,28.00228
"Redington Shores, ICCW",-82.82671,27.82367
"Hayes Bayou",-82.44635,27.68499
"NASA Causeway, N of, Indian River",-82.4738,27.7463
"Anna Maria Island City Pier",-82.73114,27.53386
"Little Bayou, N of",-82.63643,27.72907
"Anna Maria Island City Pier",-82.7311,27.5339
"Anna Marina city Pier",-82.73046,27.53453
"Anna Maria City Pier, Tampa Bay",-82.73047,27.53453
"Palm River",-82.39125,27.94777
"Neptune Way, 0.06 miles E of, Alafia River",-82.31271,27.8778
"Little Manatee River",-82.43448,27.68587
"HighPoint, 2 miles NE of, Old Tampa Bay",-82.675,27.942
"Weedon Island; E of; Old Tampa Bay",-82.58911,27.86111
"Big Island; W of; Old Tampa Bay",-82.6046,27.9055
"San Jose; W of; Old Tampa Bay",-82.5496,27.9244
"Howard Frankland Bridge; N of; Old Tampa Bay",-82.561,27.949
"HighPoint; 2 mi NE of; Old Tampa Bay",-82.675,27.942
"C. Campbell Cswy; S of; Old Tampa Bay",-82.622,27.957
"Old Tampa Bay Park; S of; Mobbly Bay",-82.62,27.98
"Snell Island; SE of; Tampa Bay",-82.5789,27.7723
"Cooper Point; SE of; Old Tampa Bay",-82.673,27.972
"Philippe Park; NE of; Safety Harbor",-82.675,28.02
"Skyway Fishing Pier; South",-82.6508,27.6055
"Mead Point; N of",-82.68795,27.52358
"Anna Maria Island; E of; Lower Tampa Bay",-82.72155,27.54196
"Joe Bay",-82.6003,27.58727
"HighPoint; 2 miles NE of, Old Tampa Bay",-82.675,27.942
"Ruskin Inlet",-82.43605,27.71683
"HighPoint; 2 miles NE of; Old Tampa Bay",-82.675,27.942
"McKay Bay, E of Causeway Blvd.",-82.42851,27.9317
"Anna Maria Island; Rod & Reel Pier (Lower Tampa Bay)",-82.7402,27.5385
"Skyway Fishing Pier; South (Lower Tampa Bay)",-82.6508,27.6055
"Joe Island; NW of (Lower Tampa Bay)",-82.6055,27.5967
"Snell Isle; 2.3 mi SE of (Middle Tampa Bay)",-82.5789,27.7723
"Weedon Island; E of (Old Tampa Bay)",-82.58911,27.86111
"Big Island; 2.2 mi E of (Old Tampa Bay)",-82.6046,27.9055
"San Jose St; W of (Old Tampa Bay)",-82.5496,27.9244
"Howard Frankland Bridge; N of (Old Tampa Bay)",-82.561,27.949
"HighPoint; 2 mi NE of (Old Tampa Bay)",-82.675,27.942
"C. Campbell Causeway; S of (Old Tampa Bay)",-82.622,27.957
"Old Tampa Bay Park; 1.7 mi S of (Old Tampa Bay)",-82.62,27.98
"Cooper Point; E of (Old Tampa Bay)",-82.673,27.972
"Philippe Park; NE of (Safety Harbor)",-82.675,28.02
"Anna Maria Island Rod & Reel Pier (Lower Tampa Bay)",-82.7402,27.5385
"High Point; 2 mi NE of (Old Tampa Bay)",-82.675,27.942
"US 19  North (Allen Creek)",-82.73146,27.93562
"Wateroak Drive (Allen Creek)",-82.74981,27.92776
"Sherbrook Road (Allen Creek)",-82.73971,27.93798
"US 19  North (Allen Creek)",-82.73145,27.93509
"Mead Point (Lower Tampa Bay)",-82.68395,27.51477
"School Key; NE of (Lower Tampa Bay)",-82.704,27.52983
"South Skyway Causeway; north end (Lower Tampa Bay)",-82.631,27.59226
"Harbor Key; 1.7 mi NW of (Lower Tampa Bay)",-82.59066,27.632
"Vista del Mar Condos; Canal (Boca Ciega Bay)",-82.68301,27.72692
"South Skyway Causeway; north end (Lower Tampa Bay)",-82.6313,27.5938
"Riverview (Alafia River)",-82.31968,27.86687
"Mullet Key Bridge (Bunces Pass)",-82.7163,27.6506
"Conception Key; NE of (Lower Tampa Bay)",-82.68505,27.6468
"N. Skyway Rest Area (Bunces Pass)",-82.6767,27.6601
"St. Petersburg (Tampa Bay)",-82.63105,27.76688
"Fifty-fourth Avenue North; N of (St. Joes Creek)",-82.742,27.82118
"Cross Bayou (St. Joes Creek)",-82.75756,27.82818
"Bayou Boardwalk; E of (St. Joes Creek)",-82.75263,27.83693
"Northside Christian School (St. Joes Creek)",-82.74326,27.83092
"McKay Point; N of (Manatee River)",-82.62202,27.52587
"Masters Bayou (Old Tampa Bay)",-82.61163,27.86365
"Bayboro Harbor; SW corner of",-82.63627,27.75855
NA,-82.68367,27.6665
"Gandy Bridge; S of (Old Tampa Bay)",-82.5514,27.8855
"Bal Harbour Drive; canal N of",-82.42018,27.7745
"Balboa Lane; canal W of",-82.42063,27.77568
"Albert Whitted Outfall (Tampa Bay)",-82.6205,27.763
"Snell Island; 5.2 mi E of",-82.5238,27.7832
"Snell Island; 1.8 mi SE of",-82.5842,27.7753
"Gandy Bridge; .77 mi S of",-82.5535,27.8755
"Marina Harbour; NE canal in",-82.683,27.72695
"38th Way S; canal W of (Marina Harbour)",-82.68565,27.72782
NA,-82.63133,27.5905
NA,-82.59067,27.632
NA,-82.5794,27.5877
"115th Avenue; S of (Isle of Palms)",-82.77021,27.77624
NA,-82.62907,27.59275
NA,-82.5782,27.63262
NA,-82.61895,27.58743
"Corey Avenue; W of (Blind Pass)",-82.76004,27.75593
"Pass-A-Grille Island; S end",-82.73718,27.68252
"Maximo Park; N of (Lower Tampa Bay)",-82.6837,27.71173
"Seabird Dr. S.; SW of",-82.71997,27.7417
"Mullet Key Bayou; N of (Bunces Pass)",-82.7264,27.662
NA,-82.73983,27.6625
"Mullet Key; SW tip of (Lower Tampa Bay)",-82.735,27.61033
NA,-82.61517,27.58167
"Anna Maria Island Pier (Lower Tampa Bay)",-82.73056,27.53472
"FWRI Peninsula; SE tip of (Bayboro Harbor)",-82.63127,27.7598
"Demens Landing Park; W of (Middle Tampa Bay)",-82.6322,27.7699
"Snell Isle, 1.6 miles W of",-82.57796,27.79623
"Snell Isle, 6.0 miles W of",-82.50925,27.79657
"Apollo Beaach, 1.5 miles e of",-82.44633,27.79104
"Apollo Beaach, 1.5 miles E of",-82.44633,27.79104
"Sand Island, 2.2 miles NE of",-82.49849,27.75282
"Saint Petersburg, 4.75 miles E of",-82.54671,27.75369
"Saint Petersburg, 1.5 miles E of",-82.60162,27.75371
"Coquina Key, 3.5 miles E of",-82.56387,27.71727
"Coquina Key, 4.2 miles SE of",-82.58332,27.6739
"Harbor Key, 2 miles NW of",-82.59611,27.63595
"Point Pinellas, 3 miles Sof",-82.63413,27.65965
"FWRI Peninsula; SE  tip of (Bayboro Harbor)",-82.63127,27.7598
"TECO discharge canal",-82.40649,27.7934
"Apollo Beach",-82.42887,27.78537
"Philippe Park Boat Ramp",-82.68241,28.01388
"Picnic Island; 0.4 mi SW of",-82.552,27.84733
"Safety Harbor Municipal Pier",-82.68596,27.98883
"Googe Island; 0.35 mi W of",-82.6045,27.82818
"Ross Island",-82.5924,27.82607
"Ross Island; 0.35 mi SE of",-82.5861,27.82423
"Lassing Park",-82.6282,27.75683
"Apollo Beach",-82.42554,27.78192
"Joe Island; W of (Lower Tampa Bay)",-82.60231,27.58935
"MacDill AFB; E of (Hillsborough Bay)",-82.47265,27.86172
"Pine Key; 1.1 mi SE of (Hillsborough Bay)",-82.42793,27.80132
"Apollo Beach Nature Preserve; E of (Middle Tampa Bay)",-82.41635,27.78883
"Albert Whitted Airport; 1.3 mi E of (Tampa Bay)",-82.60285,27.76852
"Albert Whitted Airport; 1.9 mi E of (Tampa Bay)",-82.59382,27.75935
"Apollo Beach Park",-82.42945,27.78795
NA,-82.67833,27.65833
"Bird Key; N of",-82.60072,27.55702
"Two Brothers Islands; SW of",-82.58592,27.5915
"School Key; 1.3 mi E of",-82.68838,27.51443
"School Key; 2.7 mi E of",-82.66263,27.52297
"Clam Bayou Nature Park; S of (Boca Ciega Bay)",-82.69428,27.73657
"Gulfport Beach; S of (Boca Ciega Bay)",-82.7079,27.72945
"Joe Island; W of (Lower Tampa Bay)",-82.6023,27.5893
"Sunset Park; NW of (Boca Ciega Bay)",-82.74318,27.77142
"Mullet Key; North Beach",-82.741,27.64562
"Cow and Calf Key",-82.6889,27.67977
"Point Pinellas",-82.6609,27.7014
"Big Bayou",-82.6309,27.74187
"Joe Island; SW of (Lower Tampa Bay)",-82.6023,27.5893
"13th Street SE Bridge (Boca Ciega Bay)",-82.72388,27.67424
NA,-82.665,27.67833
"Egret Drive; N of (Allen''s Creek)",-82.7501,27.92722
"Via Cipriani Boat Docks (Old Tampa Bay)",-82.7226,27.9406
"Bay Street NE; S of (Riviera Bay)",-82.63357,27.8518
"North Shore Park",-82.62237,27.78303
"Joe Island; N of (Lower Tampa Bay)",-82.5912,27.59551
"Casablanca Avenue; S of (Little McPherson Bayou)",-82.73579,27.7085
"8th Avenue SE; S of (Bayboro Harbor)",-82.63276,27.76176
"Terra Ceia Bar (Terra Ceia Bay)",-82.62805,27.54049
"Rattle snake Key; 2.1 mi W of",-82.66656,27.54961
"Fort Desoto Fishing Pier; 1.2 mi SE of",-82.72573,27.599
"Marina Drive; E of (Anna Maria Sound)",-82.71404,27.50778
"56th Street; S of (Anna Maria Sound)",-82.7133,27.50807
"Two Brothers Island, S of",-82.58695,27.59166
"Jacks Boat Basin 1",-82.78225,27.78698
"Manatee County Port Authority (Tampa Bay)",-82.5615,27.6336
"Three Palms Pointe Condominiums (Boca Ciega Bay)",-82.74422,27.73563
"87th Avenue; NE of (Boca Ciega Bay)",-82.75417,27.75182
"Gandy Boat Ramp (Old Tampa Bay)",-82.53282,27.8922
"Yacht Club Lane; canal NW of",-82.72127,27.68895
"Yacht Club Lane; canal NW of",-82.72155,27.68909
"Bayou Grande Boulevard NE; N of (Bayou Grande)",-82.60385,27.82461
NA,-82.7164,27.68543
"Emerson Bayou",-82.64133,27.53533
NA,-82.69681,27.6414
"Coffee Pot Bayou",-82.62614,27.79057
"Ricks on the River Boat Ramp (Hillsborough River)",-82.47318,27.96295
"Barbados Avenue; W of (Seddon Channel)",-82.45218,27.92833
NA,-82.7264,27.6461
NA,-82.68392,27.65197
"Creek Court; S of (Allen Creek)",-82.73859,27.93111
"Via Ciprani; E of (Largo Inlet)",-82.72638,27.9406
"Via Ciprani; S of (Largo Inlet)",-82.72242,27.94056
"Safety Harbor Pier (Old Tampa Bay)",-82.68495,27.98828
"Via Cipriani Dock; W end of (Old Tampa Bay)",-82.7264,27.9406
"Marinemax Boat Ramp (Allen Creek)",-82.72868,27.93622
"W. Knights Ave; E of (Hillsborough Bay)",-82.48925,27.90407
"Mar Street; NE of (Little McPherson Bayou)",-82.73235,27.69895
"Big Island; 2.6 mi N of (Old Tampa Bay)",-82.6405,27.94429
"FWRI Peninsula; E of (Bayboro Harbor)",-82.63187,27.76062
"Joe Island; 2.3 mi NW of (Tampa Bay)",-82.62886,27.6164
"Bear Creek; S of (Boca Ciega Bay)",-82.73218,27.75425
"Coffee Pot Park Boat Ramp (Coffeepot Bayou)",-82.63348,27.79995
"Hannah Lane; S of (Saint Joes Creek)",-82.73721,27.81201
"Mockingbird Way S; SW of (Boca Ciega Bay)",-82.73112,27.75288
"Little Bird Key; W of (Terra Ceia Bay)",-82.62777,27.54127
"Sunny Point Court; W of (Old Tampa Bay)",-82.66835,28.01692
"Tampa Bay Yacht and Country Club (Hillsborough Bay)",-82.48067,27.8878
"Allens Creek Drive; SE of (Allens Creek)",-82.7345,27.9338
"Bayside Bridge; E of (Old Tampa Bay)",-82.69205,27.94285
"RE Olds Park; S of (Safety Harbor)",-82.67042,28.02895
"Damascus Rd; 1.7 mi SE of (Old Tampa Bay)",-82.67635,27.94608
"Terra Ceia Point; 1.6 mi W of (Lower Tampa Bay)",-82.65748,27.54532
"Terra Ceia Point; 1.4 mi NW of (Lower Tampa Bay)",-82.64628,27.56648
"Snead Island; N of (Terra Ceia Bay)",-82.62788,27.54085
"Isla Del Sol (Pass-A-Grille Channel)",-82.7229,27.70951
"Summer Resort Key; W of (Boca Ciega Bay)",-82.74135,27.65453
"C. Campbell Causeway; N of (Old Tampa Bay)",-82.65576,27.97467
"55th Avenue; E of (Boca Ciega Bay)",-82.72772,27.7359
"Safety Harbor Pier (Tampa Bay)",-82.68495,27.98828
"Isla Del Sol; S of",-82.71707,27.69522
"C. Campbell Causeway; 1.7 mi S of (Old Tampa Bay)",-82.62744,27.94549
"Two Brothers Islands; SW of (Lower Tampa Bay)",-82.58695,27.59166
"US 41 Bridge; E of (Manatee River)",-82.56233,27.50648
"USFSP Beach (Bayboro Harbor)",-82.63525,27.76217
"Garden Drive North; dock SE of (ICW)",-82.74656,27.7784
"1st Avenue South; canal N of (Boca Ciega Bay)",-82.74831,27.76955
"79th Circle South; S of (Boca Ciega Bay)",-82.7453,27.7605
"Maximo Marina; canal W of (Boca Ciega Bay)",-82.68353,27.72437
"Port of St. Petersburg (Bayboro Harbor)",-82.63283,27.76183
"South Bay Boulevard; W of (Bimini Bay)",-82.72291,27.52615
"Bunker Hill Island; 1.8 mi NW of (Old Tampa Bay)",-82.68,27.935
"Bunker Hill Island; 2.6 mi NW of (Old Tampa Bay)",-82.68833,27.94333
"High Point; 1 mi N of (Old Tampa Bay)",-82.69667,27.93833
"Bayside Bridge; E of (Old Tampa Bay)",-82.70333,27.94667
"Largo Inlet; NE of (Old Tampa Bay)",-82.71333,27.94333
"Cunningham Key; W of (Mullet Key Bayou)",-82.71815,27.65463
"Snead Island; N of (Terra Ceia Bay)",-82.62799,27.5408
"Wateroak Drive West; canal SE of (Allens Creek)",-82.7494,27.928
"Allens Creek Drive; SE of (Allens Creek)",-82.735,27.93325
"Bayside Bridge; W of (Old Tampa Bay)",-82.70775,27.94148
"Allens Creek; mouth of (Largo Inlet)",-82.72183,27.93913
"West Knights Avenue; E of (Hillsborough Bay)",-82.48922,27.90413
"MacDill Air Force Base (Hillsborough Bay)",-82.4694,27.84282
"Gandy Boulevard North; N of (Old Tampa Bay)",-82.61165,27.88522
"48th Avenue South; canal N of (Boca Ciega Bay)",-82.68345,27.72586
NA,-82.63127,27.7598
"Passage Key; W of",-82.74694,27.55433
"Courtney Campbell Causeway Boat Ramp (Old Tampa Bay)",-82.6115,27.9724
"Safety Harbor City Pier (Old Tampa Bay)",-82.685,27.9883
"Grand Bellagio Condo Docks (Old Tampa Bay)",-82.7223,27.9406
"Weedon Island Kayak Launch (Bayou Grande)",-82.6111,27.844
"Weedon Island Kayak Launch",-82.6111,27.844
NA,-82.704,27.52983
NA,-82.5912,27.59551
"Weedon Island Kayak Launch (Old Tampa Bay)",-82.6111,27.844
"Mobbly Bay Drive; SE of (Mobbly Bay)",-82.65103,28.013
"Weedon Island Kayak Launch;",-82.6111,27.844
"Perico Island (Anna Maria Sound)",-82.6869,27.4969
"Christmas Island; E of (Middle Tampa Bay)",-82.59318,27.84002
"Boca Ciega Point Boulevard South; canal S of (Boca Ciega Bay)",-82.79783,27.81792
"Davis Islands (Hillsborough Bay)",-82.45997,27.91695
"Johns Pass Bridge (Johns Pass)",-82.78284,27.78388
"Kingfish Park (Johns Pass)",-82.78075,27.78343
"Snag Point; E of (Middle Tampa Bay)",-82.50865,27.67951
"Harbor Key (Middle Tampa Bay)",-82.5653,27.62315
"Double Bayou Pass; NE of (Middle Tampa Bay)",-82.45321,27.7552
"Picnic Island (Middle Tampa Bay)",-82.54696,27.84997
"Picnic Island Park; S of (Middle Tampa Bay)",-82.55395,27.84686
"Mullet Key (Lower Tampa Bay)",-82.73223,27.61248
"Bunces Pass",-82.73803,27.64938
"Grand Bellagio Condo Docks (Lower Tampa Bay)",-82.7223,27.9406
"Sea Breeze Point; N of (Terra Ceia Bay)",-82.56905,27.5694
"Two Brothers Islands; W of (Lower Tampa Bay)",-82.58927,27.59263
"Ross Island; W of (MiddleTampa Bay)",-82.58917,27.8365
"Fort Desoto Park; W of (Mullet Key Bayou)",-82.73155,27.64108
"Bird Key; W of (Lower Tampa Bay)",-82.71405,27.69717
"LIttle Bayou Park; W of (Little Bayou)",-82.63532,27.71968
"Grand Bellagio Condos Docks (Old Tampa Bay)",-82.7223,27.9406
"National Street; SW of (Lower Tampa Bay)",-82.56319,27.63488
"Beacon Key; 1.1 mi W of (Middle Tampa Bay)",-82.5639,27.6625
"Terra Ceia Point; 2.5 mi W of (Lower Tampa Bay)",-82.6717,27.552
"County Line Road; 1.5 mi W of (Middle Tampa Bay)",-82.5771,27.6434
"School Key; 1.5 mi NE of (Lower Tampa Bay)",-82.701,27.5458
"Harbor Key; 1.5 mi W of (Lower Tampa Bay)",-82.5915,27.626
"Mariposa Key; NW of (Lower Tampa Bay)",-82.57764,27.61298
"Joe Island; NW of (Lower Tampa Bay)",-82.60117,27.60599
"Manbirtee Key; N of (Lower Tampa Bay)",-82.5771,27.6434
"Moody Point; 1.3 mi W of (Lower Tampa Bay)",-82.5639,27.6625
"Mariposa Key; N of (Lower Tampa Bay)",-82.5776,27.613
"Big Pass Key; E of (Middle Tampa Bay)",-82.5112,27.69788
"Camp Key; W of (Middle Tampa Bay)",-82.52095,27.69262
"Grand Bellagio Condo Docks (Old Tampa Bay)",-82.723,27.9406
"Moody Point; 1.3 mi W of (Lower Tampa Bay",-82.5639,27.6625
"Coastal Street; N of (Lower Tampa Bay)",-82.55837,27.64017
"Oneida Road; W of (Terra Ceia Bay)",-82.57688,27.55038
"Harbor Key; W of (Lower Tampa Bay)",-82.56923,27.61182
"Little Redfish Creek; 1.7 mi W of (Lower Tampa Bay)",-82.5915,27.626
"Eda Key; 1.1 mi W of (Lower Tampa Bay)",-82.6296,27.5726
"Grand Bellagio Condo Dock (Old Tampa Bay)",-82.7223,27.9406
"Safe Harbor Channel",-82.68665,27.49785
"Hallelujah Keys (Middle Tampa Bay)",-82.51813,27.67385
"Beacon Key; W of (Middle Tampa Bay)",-82.53927,27.66935
"Skeet Key; 2.6 mi W of (Lower Tampa Bay)",-82.6525,27.5765
"Holmes Beach Boat Ramp (Lower Tampa Bay)",-82.7141,27.51359
"Warners Bayou Boat Ramp (Lower Tampa Bay)",-82.61845,27.50976
"Luau Lane Pier; W of (Cockroach Bay)",-82.4968,27.6825
"Camp Key; 2.2 mi W of (Middle Tampa Bay)",-82.5559,27.6934
"Mariposa Key; N of (Lower Tampa Bay))",-82.5776,27.613
"Little Cockroach Island; 1.9 mi NW of (Middle Tampa Bay)",-82.5338,27.7238
"Sand Key; NW of (Middle Tampa Bay)",-82.4987,27.729
"Joe Island; 1 mi N of (Lower Tampa Bay)",-82.6012,27.606
"Grand Bellagio Condo Dock",-82.723,27.9406
"Grand Bellagio Condo Dock (Old Tampa Bay)",-82.723,27.9406
NA,-82.58695,27.59166
"Manbirtee Key; N of (Lower Tampa Bay)",-82.5768,27.64299
"Manbirtee Key; S of (Lower Tampa Bay)",-82.5793,27.62422
"Mariposa Key; N of (Lower Tampa Bay)",-82.5811,27.61291
"Joe Island; N of (Lower Tampa Bay)",-82.5994,27.59721
"South Skyway Rest Area; NW of (Lower Tampa Bay)",-82.6193,27.5872
"Clambar Bayou",-82.61933,27.53608
"Marlin Lane; E of (Terra Ceia Bay)",-82.6091,27.5316
